"monospecies","CO2.Treatment","Nitrogen.Treatment","SLA","I_star","R_star","Root_C","Root_N","Root_biomass","Shoot_C","Shoot_N","Seed_mass"
"Achillea.millefolium","Camb","Namb",112.534146341463,0.684672249271028,0.21329,46.109,1.0365,122.886007692308,41.6244678571429,1.55350438095238,6.25e-05
"Agropyron.repens","Camb","Namb",195.713503759398,0.544034877607477,0.278425,43.3705,0.8835,221.22053030303,45.77239125,1.0567511825,0.00246375
"Amorpha.canescens","Camb","Namb",170.784745762712,0.520501207027907,0.70687,47.4045,1.4135,78.5137578125,45.694791,1.96590965,0.0023726
"Andropogon.gerardi","Camb","Namb",211.75846,0.369814676944186,0.30872,45.451,0.408,308.4342265625,44.8136170454545,0.838143295454545,0.001632
"Anemone.cylindrica","Camb","Namb",163.405333333333,0.853178165116279,0.45433,44.722,0.934,25.968140625,41.4093371428571,1.58212928571429,0.0011
"Asclepias.tuberosa","Camb","Namb",196.003785714286,0.823721753407407,0.66504,47.3405,1.178,26.9946111111111,40.3069947368421,2.16452823684211,0.00717
"Bouteloua.gracilis","Camb","Namb",74.82292757,0.636415334107477,0.11039,46.0185,0.6105,256.51334375,44.3829323255814,1.01287506744186,0.00049309475
"Bromus.inermis","Camb","Namb",182.54315942029,0.547090565935484,0.258878947368421,44.425,0.886,161.464715384615,44.683420625,1.07338901666667,0.10035
"Koeleria.cristata","Camb","Namb",94.7413333333333,0.685822304083333,0.278555,45.8225,0.827,107.564031007752,44.2608525531915,1.3106455893617,0.000206332
"Lespedeza.capitata","Camb","Namb",157.812341880342,0.660139428153488,0.82821,45.903,1.871,62.6872748091603,45.9188132608696,1.996746,0.16911875
"Lupinus.perennis","Camb","Namb",206.589516949153,0.4379139029447,1.49743,42.548,2.162,51.029968503937,42.176090625,1.79549597916667,0.507675
"Petalostemum.villosum","Camb","Namb",115.185245901639,0.689573683827907,0.92426,46.55,1.907,65.7819842519685,46.2065363157895,2.02109331578947,0.0020832
"Poa.pratensis","Camb","Namb",60.30456214,0.684731319457944,0.3025,43.658,0.976,226.3287,44.8798136170213,1.34625110638298,0.041425
"Schizachyrium.scoparium","Camb","Namb",203.883333333333,0.560829671920561,0.30362,46.5225,0.5635,232.4442578125,45.21980975,0.8032079,0.00144630775
"Solidago.rigida","Camb","Namb",110.3520859375,0.43980475874537,0.18053,44.642,1.196,117.484637795276,42.98992625,0.97185105,0.00075241675
"Sorghastrum.nutans","Camb","Namb",180.666303030303,0.462985491190698,0.16467,45.4445,0.376,198.909792307692,44.431252,0.8076075975,0.00214953525
