"Plot","Ring","CO2.Treatment","Nitrogen.Treatment","Achillea millefolium","Agropyron repens","Amorpha canescens","Andropogon gerardi","Anemone cylindrica","Asclepias tuberosa","Bouteloua gracilis","Bromus inermis","Koeleria cristata","Lespedeza capitata","Lupinus perennis","Petalostemum villosum","Poa pratensis","Schizachyrium scoparium","Solidago rigida","Sorghastrum nutans"
13,1,"Cenrich","Nenrich",0,0,0,67.1641791044776,0,0,5.97014925373134,1.49253731343284,0,1.49253731343284,14.9253731343284,0,5.97014925373134,0,0,2.98507462686567
30,1,"Cenrich","Nenrich",0,0,0,82.089552238806,0,0,0,0,0,0,7.46268656716418,0,10.4477611940299,0,0,0
43,1,"Cenrich","Nenrich",0,0,0,84.4155844155844,0,3.8961038961039,0,0,0,0,1.2987012987013,0,10.3896103896104,0,0,0
52,1,"Cenrich","Nenrich",0,0,0,89.8876404494382,0,0,0,0,0,0,6.74157303370787,0,3.37078651685393,0,0,0
130,3,"Cenrich","Nenrich",0,1.53846153846154,0,76.9230769230769,0,0,0,1.53846153846154,0,0,0,0,9.23076923076923,3.07692307692308,0,7.69230769230769
151,3,"Cenrich","Nenrich",0,0,0,82.7586206896552,0,1.72413793103448,0,0,0,1.72413793103448,0,0,13.7931034482759,0,0,0
175,3,"Cenrich","Nenrich",0,0,5.35714285714286,80.3571428571429,0,7.14285714285714,0,0,0,0,0,0,7.14285714285714,0,0,0
180,3,"Cenrich","Nenrich",0,0,0,62.5,0,18.75,0,0,0,1.5625,1.5625,0,15.625,0,0,0
253,5,"Cenrich","Nenrich",0,3.63636363636364,0,76.3636363636364,0,10.9090909090909,0,0,0,0,1.81818181818182,0,7.27272727272727,0,0,0
267,5,"Cenrich","Nenrich",0,0,0,79.4871794871795,0,5.12820512820513,0,0,0,0,1.28205128205128,0,14.1025641025641,0,0,0
275,5,"Cenrich","Nenrich",0,1.61290322580645,0,77.4193548387097,0,8.06451612903226,0,0,0,3.2258064516129,3.2258064516129,0,6.45161290322581,0,0,0
301,5,"Cenrich","Nenrich",0,1.61290322580645,1.61290322580645,80.6451612903226,0,0,0,0,0,0,9.67741935483871,0,6.45161290322581,0,0,0
