"sp_name","height","leaf_area","SLA","LDMC","st_len","st_den","spi","leaf_N","leaf_C","d13C","C3_C4","Growth_form"
"Andropogon_gerardii",127.421052631579,21.271975,117.2971152375,0.38114445035,37.23,137.88888889,8.45200488,1.1875,44.3125,-12.025,"c4","rhizomatous"
"Boutleoua_curtipendula",39.13,7.182525,138.107398085,0.517743187,22.952,86.325755074,4.1722542046,1.23111111111111,40.18,-14.1255555555556,"c4","rhizomatous"
"Bouteloua_gracilis",41.67,1.7987,137.680401785,0.49842913225,23.18,85.851851854,4.145307032,1.218,42.542,-14.126,"c4","caespitose"
"Bromus_inermis",99.45,8.84555,124.523222404,NA,49.9,184.81481482,13.096230868,1.626,41.114,-28.07,"c3","rhizomatous"
"Bromus_japonicus",44.1,2.1907,301.04507061,0.335045522,35.88,59.40397351,3.562523216,1.664,43.328,-28.34,"c3","rhizomatous"
"Elymus_canadensis",68.5,4.6463,175.51680327,0.3712271655,NA,NA,NA,2.44,43.272,-29.304,"c3","caespitose"
"Agropyron_smithii",49.2,3.2662,114.498592028,0.366814584,43.4125,70.133279485,4.637469459,0.884,42.688,-30.13,"c3","caespitose"
"Eragrostis_spectabilis",56,9.502675,160.09324907,0.4172366541,25.78,95.481481472,4.8566158074,1.044,42.514,-12.52,"c4","caespitose"
"Koeleria_pyrimidata",43.9,2.3512,301.27804395,0.3630209166,38.2975,63.406456955,3.93388646475,1.754,42.402,-28.716,"c3","caespitose"
"MUHPAN",14.93,2.442,216.11485867,0.8594919819,19.88,73.62962963,3.3113380324,1.954,41.242,-13.568,"c4","caespitose"
"muhlenbergia_racemosa",53,0.129333333333333,109.464285733333,0.496847190333333,14.15,52.407407405,1.972221679,1.1,44.1333333333333,-14.5666666666667,"c4","rhizomatous"
"dichanthelium_oligosanthe",37.2071428571429,3.13473333333333,223.411197353333,0.3128826502,36.55,135.37037037,8.2164079364,1.48,41.21,-28.34,"c3","caespitose"
"Panicum_virgatum",114.925,19.673985,96.139322753,0.4909643158,37.2111111111111,137.818930033333,8.43593674722222,1.17133333333333,43.7413333333333,-12.9186666666667,"c4","rhizomatous"
"Poa_pratensis",45.75,4.7985,99.1446371988889,0.404892998,17.8,65.925925926,2.7945683212,1.55,43.22,-25.924,"c3","rhizomatous"
"Andropogon_scoparius",87.65,7.314375,144.3825114,0.52296571155,28.57,105.814814821,5.6832976943,0.309,43.072,-11.96,"c4","rhizomatous"
"setaria_viridis",48.4,18.94885,260.12707184,0.343844334,27.5,101.85185186,5.3735759332,1.246,39.838,-12.234,"c4","caespitose"
"Sorghastrum_nutans",116.9,17.296675,107.167224783,0.5144748674,29.77,110.259259244,6.035793751,1.185,41.788,-11.381,"c4","rhizomatous"
"Sporobolus_asper",98.4,9.2072,71.110555642,0.4638093132,30.9666666666667,114.691358033333,6.39201288933333,0.856,43.994,-12.382,"c4","rhizomatous"
"sporobolus_cryptandrus",58.8,3.903,135.45981197,0.444448694,25.68,95.111111104,4.834000137,1.315,45.2925,-14.6,"c4","caespitose"
"Sporobolus_heterolepis",59.9,6.9403,84.912758109,0.495635453777778,23.975,88.7962963,4.3933570895,1.096,45.014,-13.576,"c4","caespitose"
"Tridens_flavus",110.1,28.3224444444444,200.017593855556,0.4119656778,27.06,100.22222224,5.2288260258,1.66,42.44,-13.4,"c4","caespitose"
